"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BRION",45,21,24,35.7,501,511,0.98,0.63,-0.12,"0.7%",45.3,2.4,-587,"52%","36%","43%",3.5,"42%","52%","50%","33%","45%","57%","49.7%","50.1%",3.76,1.68,1.95
"Dplus KIA",42,27,15,35.7,514,403,1.28,0.61,0.56,"3.4%",57.5,6.8,723,"55%","55%","57%",5.4,"60%","48%","55%","56%","60%","58%","49.4%","52.5%",3.66,1.46,1.67
"DRX",41,22,19,34.4,450,482,0.93,0.66,-0.01,"-0.6%",47.7,6,20,"49%","49%","46%",4.1,"60%","41%","47%","20%","54%","56%","50.4%","50.6%",3.42,1.49,1.8
"Gen.G",40,28,12,33.2,567,416,1.36,0.74,0.78,"5.8%",55.9,14.1,620,"55%","53%","53%",4.6,"34%","63%","61%","38%","63%","62%","50.9%","54.6%",3.56,1.42,1.84
"Hanwha Life Esports",43,12,31,34.9,420,552,0.76,0.65,-0.66,"-3.4%",42.8,-14.9,-520,"35%","42%","47%",3.9,"54%","44%","42%","17%","37%","36%","49.5%","47.0%",3.41,1.51,1.82
"KT Rolster",43,19,24,33.6,517,537,0.96,0.73,-0.12,"0.4%",50.8,-6.6,-221,"51%","47%","37%",4.3,"47%","56%","55%","73%","44%","47%","50.1%","50.5%",3.69,1.53,1.79
"Kwangdong Freecs",43,21,22,35.2,512,428,1.2,0.62,-0.04,"-0.8%",48.2,-0.6,-221,"43%","62%","67%",3.6,"52%","52%","50%","58%","50%","46%","50.0%","46.2%",3.94,1.72,1.88
"Liiv SANDBOX",41,11,30,31.8,353,620,0.57,0.75,-1.49,"-9.1%",36.8,-10,-1732,"41%","24%","22%",2.8,"37%","54%","45%","33%","27%","33%","50.1%","44.5%",3.15,1.24,1.55
"Nongshim RedForce",45,16,29,34.9,469,595,0.79,0.68,-0.36,"-4.1%",47.8,-12.3,11,"58%","49%","40%",4.8,"43%","47%","42%","50%","38%","34%","49.6%","48.8%",3.6,1.65,1.57
"T1",43,36,7,33.6,686,451,1.52,0.79,1.41,"7.9%",67.1,16.6,1896,"60%","84%","88%",7,"71%","44%","54%","75%","63%","70%","50.4%","55.4%",3.62,1.39,1.62
