"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BRION",42,11,31,33.5,360,511,0.7,0.62,-0.46,"-3.5%",44.2,-22.5,-544,"50%","31%","36%",3.7,"49%","62%","47%","38%","38%","41%","49.7%","48.2%",3.54,1.5,1.98
"Dplus KIA",41,24,17,33.2,501,409,1.22,0.67,0.42,"3.1%",52.3,8.8,655,"51%","56%","61%",5,"46%","34%","50%","29%","54%","48%","49.6%","52.5%",3.56,1.5,1.59
"DRX",45,22,23,34.2,532,559,0.95,0.71,-0.07,"-2.0%",49.9,2.6,-276,"44%","51%","58%",3.8,"53%","47%","46%","54%","58%","56%","49.8%","50.2%",3.43,1.55,1.77
"Gen.G",40,35,5,31,564,315,1.79,0.71,1.7,"11.4%",67.2,18.9,2009,"68%","78%","75%",5.7,"50%","58%","63%","100%","70%","75%","51.6%","57.9%",3.58,1.4,1.93
"Hanwha Life Esports",46,12,34,32.2,343,629,0.55,0.66,-1.22,"-8.4%",35.1,-10.1,-1191,"43%","35%","22%",3.8,"57%","37%","33%","40%","26%","33%","49.3%","46.4%",3.23,1.38,1.63
"KT Rolster",45,25,20,34,555,462,1.2,0.66,0.25,"3.1%",57.2,-2.2,249,"56%","42%","53%",4.4,"43%","60%","59%","71%","47%","51%","50.4%","51.0%",3.77,1.43,1.92
"Kwangdong Freecs",42,13,29,34.7,374,495,0.76,0.6,-0.67,"-4.6%",38.3,-13.3,-704,"43%","36%","38%",3.4,"44%","38%","39%","0%","38%","46%","49.6%","45.1%",3.74,1.63,1.81
"Liiv SANDBOX",41,27,14,31.2,554,426,1.3,0.76,-0.21,"2.2%",48.6,19.9,-718,"49%","49%","46%",3.9,"38%","66%","65%","67%","59%","62%","50.4%","48.3%",3.44,1.32,1.7
"Nongshim RedForce",42,14,28,33.3,461,532,0.87,0.71,-0.46,"-5.3%",48.7,-16.3,-299,"50%","55%","38%",4.1,"56%","57%","48%","86%","26%","29%","49.4%","47.0%",3.54,1.55,1.62
"T1",44,31,13,32.2,544,458,1.19,0.71,0.99,"5.1%",58.8,15.5,982,"48%","70%","75%",5.5,"63%","43%","52%","40%","59%","66%","50.3%","53.7%",3.53,1.38,1.59
